DPI,Click lifetime,Acceleration,DPI changes(have1 or not0),Two-handed access,number of keys,programmability(have1),conection(remote0),Target
6400,1.00E+01,30,1,1,5,0,1,1350000
3200,5,,1,1,6,,1,350000
1600,5,,,2,6,,0,200000
8000,20,20,,,10,1,1,850000
8500,50,35,,,6,1,1,1750000
7000,20,20,,,7,1,1,1200000
1600,4,,,,4,,0,200000
3200,,20,,2,9,1,1,950000
6200,20,23,,1,8,1,1,2500000
1000,,40,,,7,1,0,1400000
12000,20,50,,1,7,1,1,880000
3200,20,50,,2,8,1,1,1450000
25600,,40,1,1,13,1,2,8500000
4000,10,,,,5,,0,1900000
36000,70,50,,2,7,1,2,3100000
8000,10,,,2,8,0,1,700000
8000,10,15,,1,6,1,1,790000
20000,70,50,,2,8,1,1,3760000
14000,60,35,,1,7,1,0,2650000
3200,10,,,2,10,0,1,460000
20000,70,50,1,1,11,,1,3400000
20000,70,50,,1,8,1,2,4450000
18000,80,40,,2,6,1,2,3200000
12400,,30,,2,8,1,1,1750000
20000,,50,1,,11,,2,6200000
1200,50,,,2,8,,1,730000
16000,20,50,,1,6,1,1,1280000
12400,,30,1,2,,,1,845000
16000,10,,,2,8,1,1,550000
1600,5,,1,1,4,,1,350000
8500,70,35,,1,6,1,1,1690000
1000,,,,1,4,,1,430000
8500,60,35,,2,6,1,1,2400000
3200,1,,,,6,,1,170000
7200,3,12,,1,7,,1,385000
16000,,50,,1,9,,0,2600000
12800,50,20,1,1,8,1,1,660000
19000,20,50,,1,6,1,2,2000000
3200,,10,,1,6,0,1,590000
12000,60,35,,,6,,0,4100000
16000,,50,,2,11,1,2,3450000
2400,,10,1,2,7,,1,990000
12000,20,50,,1,6,1,1,6000000
20000,60,50,,2,6,1,2,3000000
19000,70,50,,1,6,0,2,2650000
6200,20,20,,1,8,0,1,1400000
16000,50,50,,,6,1,1,1620000
4200,10,10,,2,7,1,1,600000
6200,10,20,,1,8,0,1,1650000
20000,70,50,,1,8,1,1,2720000
20000,70,50,,2,8,1,1,3250000
18000,50,,,1,7,1,1,2600000
16000,100,50,,2,6,1,1,2900000
30000,90,70,,1,8,,1,4290000
16000,50,40,,2,5,1,2,3500000
18000,100,40,,2,6,1,2,4800000
16000,70,50,,2,8,1,1,5900000
19000,20,50,,2,6,1,2,5200000
26000,70,50,1,,6,1,1,5400000
16000,50,50,,1,,1,1,3800000
20000,70,50,,2,8,,1,4500000
20000,70,50,,1,11,1,0,5500000
18000,100,40,,2,6,1,2,4800000
16000,70,,,2,8,1,1,4400000
19000,100,40,,2,15,1,1,5000000
16000,50,40,1,1,6,1,0,2500000
